ra,dec,Instrument,Source,SIMBAD_Name,Source_Type
53.25,-28.257778000000002,uvit1, DEVILS-CDFS2,0.0,0.0
94.092042,-21.372722,uvit1, NGC 2207,NGC  2207,IG
102.24754200000001,-36.005306,uvit1, NGC 2298,NGC  2298,GlCl
119.92425,-38.732222,uvit1, SWIFT J0759.8-3844,2MASS J07594181-3843560,Seyfert_1
139.470458,-22.354670000000002,uvit1, NGC2835,NGC  2835,EmG
147.177558,50.49198,uvit2, Mrk 124,Mrk  124,Seyfert_1
170.06235,12.991539999999999,uvit1, NGC 3627,M  66,GinPair
85.127083,69.37844399999999,uvit1, NGC 1961,0.0,0.0
9.421279,-33.716331,uvit1, Cartwheel,NAME Cartwheel,Galaxy
8.406667,28.739167,uvit1, AGC 102983,AGC 102983,Galaxy
335.029167,58.12805600000001,uvit1, NGC 7261,NGC  7261,OpCl
346.181158,-8.68573,sxt, MCG-2-58-22,Mrk  926,Seyfert_1
132.825,11.8,uvit1, M67,NGC  2682,OpCl
186.6565,-62.77035,laxpc2, GX 301-2,V* BP Cru,HMXB
139.00620800000002,-36.627056,uvit1, NGC 2818,NGC  2818,PN
346.181158,-8.68573,sxt, MCG-2-58-22,Mrk  926,Seyfert_1
168.437083,-30.713333000000002,uvit1, HE 1111-3026,UCAC4 297-066269,Pec*
168.72,55.033333,uvit1, NGC 3587,RX J111450.9+550208,X
192.063458,17.774010999999998,uvit1, SDSS J124815+174626,LEDA   43234,Galaxy
350.85,58.815,sxt, Cas A,NAME Cas A,SNR
135.528583,-40.554694,laxpc1, Vela X-1,V* GP Vel,HMXB
83.63308,22.0145,czt1,Crab,M   1,SNR
147.37625,55.579719999999995,uvit1, Mrk22,Mrk   22,Seyfert_1
183.88720800000002,36.283611,uvit1, NGC 4228,SDSS J121532.93+361701.0,low-mass*
147.177558,50.49198,uvit2, Mrk 124,Mrk  124,Seyfert_1
53.458332999999996,-27.966666999999998,uvit2, CDFS03,0.0,0.0
149.386908,33.61973,uvit1, IC2524,[BKD2008] WR 402,PartofG
7.4875419999999995,32.893722,uvit1, MRK 950,NAME AT 2016fnl,Transient
140.409708,33.360647,uvit2, A779,SDSS J092142.96+332151.3,Galaxy
160.879583,24.922222,uvit1, NGC3344,[TSK2008] 278,GroupG
196.05991699999998,-10.3396,uvit1, NGC 4939,[TSK2008] 90,GroupG
172.200942,58.128331,uvit1, SDSS J112848.22+580741.9,SDSS J112848.22+580741.9,Star
12.08,85.223917,uvit1, NGC 188,Cl* NGC  188    DGV     702,Star
153.722833,-15.931444,uvit1, HE 1012-1540,HE 1012-1540,Pec*
153.722833,-15.931444,uvit1, HE 1012-1540,HE 1012-1540,Pec*
171.11465800000002,36.841338,uvit1, BPS BS 16545-0089,BPS BS 16545-0089,Pec*
171.11465800000002,36.841338,uvit1, BPS BS 16545-0089,BPS BS 16545-0089,Pec*
149.191917,28.8288,uvit1, DDO 68,UGC  5340,Galaxy
53.819120999999996,-35.22625,uvit1, NGC 1374,NGC  1374,GinPair
192.270833,43.095,uvit1, KISSR1381,KISS F1246-148,EmG
208.258333,42.970556,uvit1, KISSR1667/1671*,SDSS J135259.95+425729.3,QSO
51.17125,34.179444000000004,uvit1, 1h0323+342_1,QSO J0324+3410,BLLac
51.038458,34.069371999999994,uvit1, 1h0323+342_2,0.0,0.0
51.304208,34.179372,uvit1, 1h0323+342_3,1SWASP J032515.17+341031.6,V*
51.038292,34.179372,uvit1, 1h0323+342_4,0.0,0.0
51.304375,34.289372,uvit1, 1h0323+342_5,0.0,0.0
51.038125,34.289372,uvit1, 1h0323+342_6,0.0,0.0
51.17125,34.069444,uvit1, 1h0323+342_7,0.0,0.0
51.17125,34.289444,uvit1, 1h0323+342_8,0.0,0.0
51.304041999999995,34.069371999999994,uvit1, 1h0323+342_9,0.0,0.0
166.11375,38.208889,sxt, Mkn 421,Mrk  421,BLLac
78.52816700000001,-40.046556,uvit1, NGC 1851,NGC  1851,GlCl
86.757871,-34.250609999999995,uvit1, ngc2090,NGC  2090,GinGroup
18.593871,-55.398709999999994,uvit1, NGC 0454,NGC   454,PairG
90.19976700000001,-39.918583,uvit1, JW108,2MASX J06004799-3955068,EmG
185.341421,30.176975,sxt, 1ES 1218+304,QSO B1218+304,BLLac
169.2275,18.051667000000002,uvit1, NGC3607,[VV2006] J111654.8+180304,QSO
25.36975,83.583028,uvit1, GD419,GD 419,WD*
74.69275,29.843583000000002,uvit1, HD 31648,HD  31648,Ae*
84.429171,-70.57083,uvit1, RX J0537.7-7034,RX J0537.6-7033,XB
148.888221,69.06529,uvit1, M81,M  81,Seyfert_2
51.17125,34.179444000000004,sxt, 1H 0323+342,QSO J0324+3410,BLLac
12.08,85.223917,uvit1, NGC 188,Cl* NGC  188    DGV     702,Star
194.268,-30.375053,uvit1, Abell3530,2MASX J12570425-3022305,Seyfert_2
83.633083,22.0145,czt1, Crab,M   1,SNR
52.669957999999994,-50.30961,uvit1, NGC1356,NGC  1356,IG
36.820329,33.57917,uvit1, NGC 0925,NAME NGC 925 Group,GroupG
53.12370799999999,-27.735364,uvit1, AUDFLs,EIS-DEEP CDFS-1 J 1  171,Star
237.391917,70.348089,laxpc1, Blank Sky-8,0.0,0.0
51.17125,34.179444000000004,sxt, 1H 0323+342,QSO J0324+3410,BLLac
211.823,6.446,uvit1, SGW_d_01,SDSS J140718.55+062637.4,Galaxy
106.5585,30.233444,uvit1, UGC 3672,0.0,0.0
51.571878999999996,-21.33522,uvit1, NGC 1332,[LB2005] NGC  1332 X1,X
188.584621,8.19775,uvit1, NGC 4535,NGC  4535,HII_G
188.46505,19.8866,uvit1, SDSS J123351.61+195311.8,SDSS J123351.60+195311.7,AGN
181.039125,20.347806,uvit1, NGC 4066,NGC  4066,GinGroup
192.063458,17.774010999999998,uvit1, SDSS J124815+174626,LEDA   43234,Galaxy
217.04525,13.55158,uvit1, UGC9273,[BKD2008] WR 378,PartofG
214.584258,7.592528999999999,uvit1, NGC5546offset,0.0,0.0
175.712375,20.442181,uvit2, A1367b,SDSS J114250.97+202631.8,Galaxy
186.22625,21.382278,sxt, PKS 1222+216,4C 21.35,QSO
186.668708,19.754389,uvit1, AGC 229361 (original T02),AGC 229361,Galaxy
12.08,85.223917,uvit1, NGC 188,Cl* NGC  188    DGV     702,Star
237.391917,70.348089,laxpc1, Blank Sky-8,0.0,0.0
51.17125,34.179444000000004,sxt, 1H 0323+342,QSO J0324+3410,BLLac
53.12370799999999,-27.735364,uvit1, AUDFLs,EIS-DEEP CDFS-1 J 1  171,Star
207.053042,-63.274111,laxpc1, MAXI J1348-630,MAXI J1348-630,Candidate_HMXB
53.12370799999999,-27.735364,uvit1, AUDFLs,EIS-DEEP CDFS-1 J 1  171,Star
118.8554,39.18615,uvit1, mrk 382,Mrk  382,Seyfert_1
207.053042,-63.274111,laxpc1, MAXI J1348-630,MAXI J1348-630,Candidate_HMXB
54.75233299999999,29.696,uvit1, V1185 Tau,V* V1185 Tau,Irregular_V*
